Identifier,files_identifier,Segmentation,Transcription,files_verified_Githubhtr,  Resp,files number,Author,Title,Printer,Date,Place,Link digital book,Library,Call number
Lefevre_1-Tim_001,bsb11059254_00499-bsb11059254_00501,presegmented,yes,yes,FG,3,Jacques Lefèvre d'Etaples,Commentarii in epistolas d. Pauli,Anonymus,1512,Paris,https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11059254-9,Regensburg Staatliche Bibliothek,999/2Script.801
Bugenhagen_1-Tim_001,bsb00027764_00155-bsb00027764_00172,presegmented,yes,yes,FG,18,Johannes Bugenhagen,In epistulam Pauli ad Timotheum,Anonymus -Adam Petri?,1524,Basel,https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00027764-8,München Bayerische Staatsbibliothek,Res/Exeg. 309 b Beibd.3
Cajetan_1-Tim_001,Bsb10143002_00312-bsb10143002_00317,presegmented,yes, yes ,FG,6,Thomas Cajetan,,Giunta Luca-Antonio,1531,Venezia,https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10143002-9,München Bayerische Staatsbibliothek,2 Exeg. 610
Unbekannt_1-Tim_001, 952805-952828,presegmenented,yes, yes,FG,24,Unbekannt,Commentarius in priorem Timothei epistolam à viro summae pietatis studio conscriptus,Heinrich Petri,1533,Basel,https://doi.org/10.3931/e-rara-3101,Universitätsbibliothek Basel,UBH FG VIII2 16:7
Bullinger_1-Tim_001,7325935-7326099,presegmented,yes, yes,FG,32,Heinrich Bullinger,In D. Apostoli Pauli ad Thessalonicenses Timotheum Titum & Philemonem epistolas,Christoph Froschauer,1536,Zürich,https://doi.org/10.3931/e-rara-23723,Zentralbibliothek Zürich,VD 16 B 5144 Vischer C 251
Pellicanus_1-Tim_001, 844101-844110,presegmented,yes, yes,FG,11, Pellicanus Conrad, In omnes apostolicas epistolas Pauli commentarii, aterlier Frocher,1539, Zurich, https://doi.org/10.3931/e-rara-2604, Zentralbibliothek Zürich, III B 14 | G
Calvin_1-Tim_001,6293982-6293996,presegmented,yes,yes,FG,15, Jean Calvin, Commentarii in utranque Pauli epistolam ad Timotheum,  Jean Girard,1548, Geneve, https://doi.org/10.3931/e-rara-5708, Bibliothèque de Genève,  Bb 1493 (2)
Aretius_1-Tim_001,bsb10313792_00016-bsb10313792_00178,presegmented,yes, yes,FG,163,Benedictus Aretius,in Epistolas ad Timotheum ad Titum et ad Philemonem,Jean Le preux,1580,Morges,https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10313792-3,München Bayerische Staatsbibliothek,Exeg. 53 Beibd.1
Hyperius_1-Tim_001,16892665-16892676,presegmented,yes, yes,FG,12, Hyperius Andreas, Commentarii  in epistolas D. Pauli ad Timotheum , Christoph Froschauer,1582, Zurich, https://doi.org/10.3931/e-rara-62382, Zentralbibliothek Zürich,  C 85 | G
Bucer_Eph_test,bsb0003503_00001-bsb0003503_0041,presegmented,yes,yes,NS/FG,41, Jacques Lefèvre d'Etaples,Commentarii in epistolas d. Pauli,Anonymus,1512,Paris,https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11059254-9,Regensburg Staatliche Bibliothek,999/2Script.801
Bucer_Rm_test,bsb11059254_00466-bsb11059254_00484,presegmented,yes,yes,BN/FG,19,Martin Bucer, Metaphrases et enarrationem in Epistolam ad Romanos,Wendelin Rihel,1536,Strassbourg, https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb11059175-0,     Regensburg Staatliche Bibliothek,999/2Script.662
Lefevre_Rm_test,bsb11059254_00203-bsb11059254_00222,presegmented,yes,yes,MC/FG,19,Martin Brucer,Epistolam ad Ephesios,Anonymus,1527,Strasbourg,https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb00035303-6,München Bayerische Staatsbibliothek,Polem. 408 Beibd.2
