epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.373,0.66186,3.58301,0.95807,0.46536,0.3398,0.3807,0.31408,0.61783,2.23033,0.8889,0.000171057,0.000171057,0.000171057
2,29.9914,0.62792,1.80439,0.92061,0.9196,0.48166,0.54373,0.44181,0.65117,0.95104,0.88149,0.000342961,0.000342961,0.000342961
3,44.4901,0.62917,1.02391,0.9244,0.95358,0.63997,0.68902,0.5392,0.67029,0.69993,0.90092,0.000511393,0.000511393,0.000511393
4,58.9793,0.63391,0.8267,0.9389,0.84201,0.66002,0.69103,0.54189,0.65189,0.58671,0.89717,0.000510378,0.000510378,0.000510378
5,73.5018,0.60518,0.71492,0.92103,0.96266,0.67005,0.76351,0.59369,0.66513,0.56051,0.88583,0.00050517,0.00050517,0.00050517
6,88.0008,0.59435,0.64239,0.91316,0.94856,0.66799,0.74405,0.57047,0.62187,0.52571,0.8813,0.000499963,0.000499963,0.000499963
7,102.467,0.58938,0.58352,0.91806,0.86062,0.66835,0.75153,0.57199,0.64205,0.51636,0.88683,0.000494756,0.000494756,0.000494756
8,116.944,0.58184,0.58336,0.90912,0.77913,0.65931,0.75455,0.59147,0.63783,0.51146,0.88798,0.000489548,0.000489548,0.000489548
9,131.439,0.57768,0.56335,0.91282,0.66514,0.78706,0.79199,0.62256,0.6402,0.51825,0.89312,0.000484341,0.000484341,0.000484341
10,146.007,0.57549,0.53305,0.90328,0.70839,0.72291,0.75284,0.59917,0.65075,0.51114,0.89027,0.000479133,0.000479133,0.000479133
11,160.517,0.56818,0.51032,0.90537,0.70078,0.72803,0.75442,0.61015,0.63595,0.48732,0.88721,0.000473926,0.000473926,0.000473926
12,175.039,0.56038,0.49043,0.91468,0.69999,0.72054,0.75326,0.60525,0.61052,0.45851,0.87909,0.000468719,0.000468719,0.000468719
13,189.597,0.54798,0.47979,0.89835,0.69021,0.73124,0.75344,0.59616,0.61173,0.45356,0.87643,0.000463511,0.000463511,0.000463511
14,204.123,0.54469,0.47617,0.89502,0.87492,0.662,0.72776,0.58925,0.6,0.45101,0.87864,0.000458304,0.000458304,0.000458304
15,218.649,0.53714,0.47103,0.8906,0.87113,0.67584,0.73918,0.59896,0.60226,0.43707,0.87919,0.000453096,0.000453096,0.000453096
16,233.172,0.5392,0.44959,0.90335,0.74384,0.73947,0.77263,0.60207,0.59995,0.43965,0.88059,0.000447889,0.000447889,0.000447889
17,247.715,0.53574,0.4259,0.89896,0.76348,0.77933,0.75509,0.6071,0.62289,0.43821,0.89116,0.000442682,0.000442682,0.000442682
18,262.23,0.55458,0.44202,0.90247,0.78596,0.77368,0.79699,0.62477,0.65036,0.45373,0.89911,0.000437474,0.000437474,0.000437474
19,276.792,0.53794,0.43162,0.89532,0.72986,0.77974,0.79912,0.6435,0.6304,0.44991,0.89152,0.000432267,0.000432267,0.000432267
20,291.366,0.5198,0.41765,0.88887,0.78482,0.729,0.78287,0.62288,0.61904,0.43287,0.88755,0.000427059,0.000427059,0.000427059
21,305.936,0.52438,0.43007,0.88692,0.7805,0.76063,0.77576,0.63479,0.60674,0.40501,0.88169,0.000421852,0.000421852,0.000421852
22,320.449,0.5213,0.42144,0.89177,0.77466,0.7299,0.77457,0.62409,0.60938,0.41024,0.88753,0.000416645,0.000416645,0.000416645
23,334.974,0.50504,0.40995,0.89295,0.92089,0.70974,0.84252,0.64108,0.61334,0.41653,0.8857,0.000411437,0.000411437,0.000411437
24,349.495,0.51641,0.42157,0.88805,0.83078,0.73883,0.80445,0.62753,0.6023,0.40859,0.8784,0.00040623,0.00040623,0.00040623
25,364.045,0.5148,0.39789,0.885,0.95848,0.66994,0.81242,0.63513,0.60999,0.4136,0.87993,0.000401022,0.000401022,0.000401022
26,378.604,0.50712,0.40312,0.88558,0.88027,0.66535,0.78141,0.62852,0.6205,0.41145,0.88115,0.000395815,0.000395815,0.000395815
